symbol,display_symbol,label,thai_name,asset_type,exchange,market,sector,industry,country,currency,aliases,index_memberships,yfinance_symbol,enabled,searchable,coverage_status,security_type,set_symbol,source
ADB.BK,ADB,APPLIED DB PUBLIC COMPANY LIMITED,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),stock,mai,Thailand,Unclassified,Industrials,Thailand,THB,ADB|APPLIED DB PUBLIC COMPANY LIMITED|APPLIED DB|บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน)|แอ็พพลายดีบี|บริษัท|แอ็พพลาย|ดีบี|จำกัด|มหาชน,,ADB.BK,true,true,verified_set_public_listing_partial,S,ADB,set_public_stock_list_api
ADD-F.BK,ADD-F,ADDTECH HUB PUBLIC COMPANY LIMITED,บริษัท แอดเทค ฮับ จำกัด (มหาชน),foreign_stock,mai,Thailand,Unclassified,Services,Thailand,THB,ADD-F|ADD|ADDTECH HUB PUBLIC COMPANY LIMITED|ADDTECH HUB|บริษัท แอดเทค ฮับ จำกัด (มหาชน)|แอดเทคฮับ|บริษัท|แอดเทค|ฮับ|จำกัด|มหาชน,,ADD-F.BK,true,true,verified_set_public_listing_partial,F,ADD-F,set_public_stock_list_api
ADD.BK,ADD,ADDTECH HUB PUBLIC COMPANY LIMITED,บริษัท แอดเทค ฮับ จำกัด (มหาชน),stock,mai,Thailand,Unclassified,Services,Thailand,THB,ADD|ADDTECH HUB PUBLIC COMPANY LIMITED|ADDTECH HUB|บริษัท แอดเทค ฮับ จำกัด (มหาชน)|แอดเทคฮับ|บริษัท|แอดเทค|ฮับ|จำกัด|มหาชน,,ADD.BK,true,true,verified_set_public_listing_partial,S,ADD,set_public_stock_list_api
ADVANC-F.BK,ADVANC-F,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),foreign_stock,SET,Thailand,Information & Communication Technology,Technology,Thailand,THB,ADVANC-F|ADVANC|ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED|ADVANCED INFO SERVICE|บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)|แอดวานซ์อินโฟร์เซอร์วิส|บริษัท|แอดวานซ์|อินโฟร์|เซอร์วิส|จำกัด|มหาชน,,ADVANC-F.BK,true,true,verified_set_public_listing_partial,F,ADVANC-F,set_public_stock_list_api
ADVANC.BK,ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),stock,SET,Thailand,Information & Communication Technology,Technology,Thailand,THB,ADVANC|ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED|ADVANCED INFO SERVICE|บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)|แอดวานซ์อินโฟร์เซอร์วิส|บริษัท|แอดวานซ์|อินโฟร์|เซอร์วิส|จำกัด|มหาชน,,ADVANC.BK,true,true,verified_set_public_listing_partial,S,ADVANC,set_public_stock_list_api
ADVICE-F.BK,ADVICE-F,Advice IT Infinite Public Company Limited,บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด (มหาชน),foreign_stock,SET,Thailand,Commerce,Services,Thailand,THB,ADVICE-F|ADVICE|Advice IT Infinite Public Company Limited|Advice IT Infinite|บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด (มหาชน)|แอดไวซ์ไอทีอินฟินิท|บริษัท|แอดไวซ์|ไอที|อินฟินิท|จำกัด|มหาชน,,ADVICE-F.BK,true,true,verified_set_public_listing_partial,F,ADVICE-F,set_public_stock_list_api
ADVICE.BK,ADVICE,Advice IT Infinite Public Company Limited,บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด (มหาชน),stock,SET,Thailand,Commerce,Services,Thailand,THB,ADVICE|Advice IT Infinite Public Company Limited|Advice IT Infinite|บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด (มหาชน)|แอดไวซ์ไอทีอินฟินิท|บริษัท|แอดไวซ์|ไอที|อินฟินิท|จำกัด|มหาชน,,ADVICE.BK,true,true,verified_set_public_listing_partial,S,ADVICE,set_public_stock_list_api
AE-F.BK,AE-F,ALL ENERGY & UTILITIES PUBLIC COMPANY LIMITED,บริษัท ออลล์ เอ็นเนอร์ยี่ แอนด์ ยูทิลิตี้ จำกัด (มหาชน),foreign_stock,SET,Thailand,Energy & Utilities,Resources,Thailand,THB,AE-F|AE|ALL ENERGY & UTILITIES PUBLIC COMPANY LIMITED|ALL ENERGY & UTILITIES|บริษัท ออลล์ เอ็นเนอร์ยี่ แอนด์ ยูทิลิตี้ จำกัด (มหาชน)|ออลล์เอ็นเนอร์ยี่แอนด์ยูทิลิตี้|บริษัท|ออลล์|เอ็นเนอร์ยี่|แอนด์|ยูทิลิตี้|จำกัด|มหาชน|7UP-F|FER-F|MLINK-F,,AE-F.BK,true,true,verified_set_public_listing_partial,F,AE-F,set_public_stock_list_api
AE.BK,AE,ALL ENERGY & UTILITIES PUBLIC COMPANY LIMITED,บริษัท ออลล์ เอ็นเนอร์ยี่ แอนด์ ยูทิลิตี้ จำกัด (มหาชน),stock,SET,Thailand,Energy & Utilities,Resources,Thailand,THB,AE|ALL ENERGY & UTILITIES PUBLIC COMPANY LIMITED|ALL ENERGY & UTILITIES|บริษัท ออลล์ เอ็นเนอร์ยี่ แอนด์ ยูทิลิตี้ จำกัด (มหาชน)|ออลล์เอ็นเนอร์ยี่แอนด์ยูทิลิตี้|บริษัท|ออลล์|เอ็นเนอร์ยี่|แอนด์|ยูทิลิตี้|จำกัด|มหาชน|7UP|FER|MLINK,,AE.BK,true,true,verified_set_public_listing_partial,S,AE,set_public_stock_list_api
AEONTS-F.BK,AEONTS-F,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),foreign_stock,SET,Thailand,Finance & Securities,Financials,Thailand,THB,AEONTS-F|AEONTS|AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED|AEON THANA SINSAP (THAILAND)|บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน)|อิออนธนสินทรัพย์(ไทยแลนด์)|บริษัท|อิออน|ธนสินทรัพย์|ไทยแลนด์|จำกัด|มหาชน,,AEONTS-F.BK,true,true,verified_set_public_listing_partial,F,AEONTS-F,set_public_stock_list_api
